consume,end_time,index,length,link,start_time,norm_start_time,day_start_time,day_start_date
4.22,2016-07-19 04:54:13.220,55,59,123,2016-07-19 04:54:09.000,2016-07-19 04:40:00.000,04:40:00,2016-07-19
3.49,2016-07-19 05:09:47.490,61,59,123,2016-07-19 05:09:44.000,2016-07-19 05:00:00.000,05:00:00,2016-07-19
2.2,2016-07-19 05:09:49.200,61,34,107,2016-07-19 05:09:47.000,2016-07-19 05:00:00.000,05:00:00,2016-07-19
14.74,2016-07-19 05:58:28.740,79,136,117,2016-07-19 05:58:14.000,2016-07-19 05:40:00.000,05:40:00,2016-07-19
9.51,2016-07-19 06:28:03.510,93,136,117,2016-07-19 06:27:54.000,2016-07-19 06:20:00.000,06:20:00,2016-07-19
3.79,2016-07-19 06:48:13.790,107,59,123,2016-07-19 06:48:10.000,2016-07-19 06:40:00.000,06:40:00,2016-07-19
1.87,2016-07-19 06:48:15.870,107,34,107,2016-07-19 06:48:14.000,2016-07-19 06:40:00.000,06:40:00,2016-07-19
2.2,2016-07-19 06:48:17.200,107,40,108,2016-07-19 06:48:15.000,2016-07-19 06:40:00.000,06:40:00,2016-07-19
3.34,2016-07-19 08:25:25.340,204,40,108,2016-07-19 08:25:22.000,2016-07-19 08:20:00.000,08:20:00,2016-07-19
3.43,2016-07-19 08:25:35.430,205,40,108,2016-07-19 08:25:32.000,2016-07-19 08:20:00.000,08:20:00,2016-07-19
3.34,2016-07-19 08:30:35.340,214,40,108,2016-07-19 08:30:32.000,2016-07-19 08:20:00.000,08:20:00,2016-07-19
3.84,2016-07-19 09:06:41.840,263,84,101,2016-07-19 09:06:38.000,2016-07-19 09:00:00.000,09:00:00,2016-07-19
3.16,2016-07-19 09:33:44.160,300,78,105,2016-07-19 09:33:41.000,2016-07-19 09:20:00.000,09:20:00,2016-07-19
2.35,2016-07-19 09:33:47.350,300,58,100,2016-07-19 09:33:45.000,2016-07-19 09:20:00.000,09:20:00,2016-07-19
7.27,2016-07-19 09:35:58.270,302,136,117,2016-07-19 09:35:51.000,2016-07-19 09:20:00.000,09:20:00,2016-07-19
3.47,2016-07-19 09:46:37.470,318,109,110,2016-07-19 09:46:34.000,2016-07-19 09:40:00.000,09:40:00,2016-07-19
