,0,1,2,3,4,5,6,7,8,9,10,11
2016-07-19,14.0,12.0,13.0,13.0,12.0,14.0,10.0,13.0,12.0,13.0,10.0,15.0
2016-07-20,8.0,12.0,16.0,9.0,19.0,12.0,10.0,16.0,11.0,11.0,10.0,17.0
2016-07-21,10.0,20.0,21.0,13.0,12.0,16.0,15.0,15.0,11.0,12.0,13.0,11.0
2016-07-22,16.0,20.0,13.0,17.0,24.0,33.0,15.0,23.0,23.0,21.0,20.0,17.0
2016-07-23,19.0,21.0,19.0,13.0,17.0,21.0,21.0,12.0,14.0,9.0,23.0,14.0
2016-07-24,21.0,11.0,14.0,13.0,17.0,16.0,18.0,19.0,13.0,12.0,13.0,6.0
2016-07-25,20.0,4.0,16.0,9.0,20.0,9.0,14.0,12.0,17.0,10.0,11.0,11.0
2016-07-26,11.0,15.0,18.0,15.0,17.0,15.0,14.0,10.0,11.0,8.0,19.0,10.0
2016-07-27,25.0,20.0,12.0,9.0,22.0,8.0,14.0,18.0,10.0,13.0,11.0,20.0
2016-07-28,18.0,9.0,5.0,15.0,14.0,12.0,8.0,10.0,12.0,8.0,14.0,15.0
2016-07-29,21.0,14.0,17.0,19.0,14.0,23.0,21.0,12.0,20.0,16.0,15.0,16.0
2016-07-30,11.0,6.0,3.0,1.0,2.0,14.0,2.0,21.0,17.0,15.0,14.0,9.0
2016-07-31,16.0,16.0,18.0,13.0,13.0,12.0,15.0,24.0,8.0,10.0,8.0,14.0
2016-08-01,15.0,10.0,20.0,14.0,21.0,22.0,17.0,9.0,17.0,8.0,7.0,14.0
2016-08-02,18.0,5.0,16.0,12.0,11.0,14.0,11.0,15.0,23.0,11.0,16.0,14.0
2016-08-03,15.0,9.0,11.0,11.0,18.0,13.0,19.0,17.0,12.0,16.0,19.0,14.0
2016-08-04,19.0,15.0,18.0,12.0,21.0,12.0,14.0,13.0,11.0,3.0,12.0,9.0
2016-08-05,14.0,17.0,29.0,16.0,14.0,17.0,16.0,14.0,15.0,11.0,13.0,14.0
2016-08-06,16.0,11.0,7.0,14.0,14.0,11.0,11.0,23.0,12.0,17.0,14.0,12.0
2016-08-07,4.0,5.0,7.0,14.0,12.0,9.0,10.0,14.0,14.0,12.0,13.0,13.0
2016-08-08,19.0,10.0,23.0,11.0,15.0,14.0,12.0,14.0,13.0,11.0,2.0,12.0
2016-08-09,13.0,11.0,13.0,17.0,14.0,21.0,10.0,14.0,19.0,9.0,7.0,6.0
2016-08-10,11.0,19.0,11.0,12.0,11.0,13.0,10.0,5.0,11.0,12.0,10.0,14.0
2016-08-11,12.0,12.0,15.0,19.0,17.0,11.0,13.0,12.0,11.0,8.0,10.0,12.0
2016-08-12,12.0,9.0,10.0,12.0,22.0,18.0,17.0,21.0,17.0,20.0,11.0,22.0
2016-08-13,8.0,6.0,8.0,10.0,5.0,6.0,3.0,13.0,6.0,6.0,13.0,11.0
2016-08-14,4.0,1.0,3.0,11.0,12.0,3.0,1.0,3.0,2.0,7.0,11.0,7.0
2016-08-15,10.0,8.0,13.0,13.0,13.0,9.0,6.0,9.0,10.0,11.0,6.0,3.0
2016-08-16,9.0,9.0,13.0,10.0,12.0,11.0,7.0,9.0,11.0,4.0,11.0,9.0
2016-08-17,9.0,6.0,8.0,6.0,10.0,19.0,7.0,8.0,9.0,9.0,4.0,11.0
2016-08-18,15.0,15.0,8.0,10.0,13.0,12.0,9.0,7.0,8.0,10.0,12.0,6.0
2016-08-19,12.0,10.0,16.0,13.0,22.0,12.0,11.0,7.0,18.0,14.0,15.0,8.0
2016-08-20,9.0,11.0,13.0,6.0,8.0,9.0,10.0,8.0,3.0,10.0,10.0,7.0
2016-08-21,16.0,8.0,3.0,11.0,9.0,9.0,13.0,5.0,8.0,10.0,8.0,8.0
2016-08-22,9.0,9.0,12.0,7.0,8.0,7.0,7.0,10.0,6.0,9.0,8.0,6.0
2016-08-23,10.0,8.0,12.0,6.0,8.0,11.0,7.0,6.0,9.0,7.0,1.0,9.0
2016-08-24,6.0,6.0,6.0,7.0,9.0,7.0,5.0,6.0,3.0,5.0,9.0,5.0
2016-08-25,8.0,9.0,9.0,5.0,7.0,9.0,1.0,10.0,6.0,8.0,3.0,6.0
2016-08-26,5.0,6.0,3.0,7.0,12.0,12.0,2.0,11.0,10.0,9.0,9.0,10.0
2016-08-27,8.0,11.0,8.0,7.0,8.0,11.0,7.0,8.0,7.0,4.0,7.0,6.0
2016-08-28,4.0,3.0,6.0,3.0,3.0,5.0,3.0,4.0,2.0,1.0,6.0,3.0
2016-08-29,11.0,10.0,6.0,9.0,8.0,7.0,3.0,6.0,9.0,13.0,12.0,12.0
2016-08-30,7.0,7.0,9.0,9.0,6.0,5.0,6.0,14.0,6.0,5.0,9.0,12.0
2016-08-31,9.0,9.0,5.0,8.0,9.0,6.0,4.0,2.0,5.0,7.0,8.0,4.0
2016-09-01,2.0,13.0,3.0,11.0,8.0,10.0,14.0,10.0,9.0,7.0,7.0,4.0
2016-09-02,4.0,4.0,4.0,6.0,6.0,8.0,2.0,7.0,5.0,11.0,7.0,6.0
2016-09-03,3.0,1.0,4.0,6.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,3.0
2016-09-04,5.0,5.0,3.0,3.0,4.0,1.0,4.0,3.0,1.0,4.0,5.0,3.0
2016-09-05,8.0,4.0,5.0,6.0,4.0,6.0,2.0,8.0,3.0,5.0,2.0,4.0
2016-09-06,4.0,4.0,4.0,2.0,8.0,5.0,5.0,6.0,4.0,1.0,3.0,6.0
2016-09-07,10.0,13.0,20.0,18.0,7.0,15.0,7.0,13.0,16.0,6.0,8.0,9.0
2016-09-08,10.0,22.0,11.0,13.0,13.0,10.0,4.0,11.0,14.0,7.0,9.0,4.0
2016-09-09,15.0,15.0,10.0,10.0,15.0,11.0,6.0,4.0,21.0,12.0,16.0,12.0
2016-09-10,22.0,20.0,18.0,25.0,25.0,19.0,22.0,17.0,21.0,25.0,22.0,25.0
2016-09-11,9.0,22.0,22.0,18.0,22.0,20.0,15.0,16.0,29.0,16.0,15.0,11.0
2016-09-12,28.0,21.0,15.0,14.0,22.0,14.0,12.0,18.0,18.0,15.0,19.0,16.0
2016-09-13,13.0,23.0,19.0,8.0,23.0,23.0,15.0,17.0,17.0,15.0,12.0,20.0
2016-09-14,25.0,21.0,27.0,23.0,31.0,33.0,19.0,26.0,26.0,23.0,13.0,21.0
2016-09-15,19.0,14.0,12.0,14.0,16.0,19.0,17.0,10.0,7.0,8.0,8.0,16.0
2016-09-16,20.0,16.0,10.0,14.0,21.0,14.0,12.0,19.0,16.0,12.0,10.0,8.0
2016-09-17,15.0,17.0,23.0,13.0,18.0,18.0,26.0,17.0,20.0,16.0,13.0,9.0
2016-09-18,15.0,11.0,13.0,14.0,26.0,17.0,15.0,11.0,21.0,12.0,17.0,15.0
2016-09-19,15.0,12.0,17.0,9.0,18.0,21.0,15.0,16.0,16.0,8.0,11.0,13.0
2016-09-20,13.0,18.0,19.0,17.0,20.0,18.0,14.0,24.0,18.0,10.0,13.0,15.0
2016-09-21,13.0,17.0,16.0,21.0,20.0,21.0,14.0,23.0,23.0,14.0,13.0,14.0
2016-09-22,13.0,18.0,12.0,15.0,22.0,22.0,9.0,13.0,17.0,14.0,16.0,17.0
2016-09-23,29.0,23.0,22.0,25.0,23.0,35.0,16.0,18.0,14.0,21.0,23.0,20.0
2016-09-24,25.0,42.0,25.0,17.0,26.0,21.0,18.0,21.0,17.0,14.0,11.0,8.0
2016-09-25,33.0,37.0,29.0,16.0,24.0,21.0,16.0,16.0,16.0,20.0,18.0,18.0
2016-09-26,14.0,14.0,14.0,18.0,18.0,17.0,18.0,23.0,15.0,10.0,26.0,10.0
2016-09-27,27.0,19.0,26.0,8.0,14.0,29.0,24.0,22.0,16.0,13.0,15.0,23.0
2016-09-28,14.0,22.0,10.0,21.0,26.0,24.0,13.0,19.0,20.0,8.0,20.0,20.0
2016-09-29,18.0,21.0,30.0,16.0,17.0,26.0,17.0,20.0,18.0,13.0,6.0,20.0
2016-09-30,25.0,25.0,45.0,33.0,39.0,36.0,39.0,45.0,30.0,31.0,23.0,30.0
2016-10-01,28.0,24.0,26.0,31.0,25.0,19.0,20.0,15.0,21.0,10.0,12.0,14.0
2016-10-02,27.0,21.0,17.0,8.0,12.0,19.0,15.0,16.0,12.0,11.0,21.0,19.0
2016-10-03,15.0,15.0,19.0,14.0,20.0,14.0,15.0,14.0,22.0,11.0,10.0,18.0
2016-10-04,49.0,31.0,29.0,32.0,44.0,38.0,25.0,34.0,15.0,18.0,17.0,17.0
2016-10-05,50.0,38.0,40.0,50.0,43.0,35.0,47.0,35.0,45.0,41.0,23.0,20.0
2016-10-06,47.0,28.0,36.0,27.0,32.0,15.0,37.0,40.0,31.0,34.0,25.0,30.0
2016-10-07,34.0,29.0,23.0,21.0,31.0,34.0,23.0,19.0,25.0,25.0,20.0,11.0
2016-10-08,14.0,17.0,16.0,21.0,13.0,12.0,17.0,12.0,12.0,14.0,13.0,7.0
2016-10-09,14.0,15.0,28.0,14.0,14.0,18.0,12.0,19.0,19.0,15.0,11.0,20.0
2016-10-10,21.0,15.0,21.0,10.0,23.0,10.0,13.0,17.0,18.0,13.0,17.0,9.0
2016-10-11,21.0,9.0,23.0,16.0,20.0,16.0,14.0,13.0,10.0,11.0,13.0,15.0
2016-10-12,20.0,27.0,19.0,18.0,18.0,26.0,16.0,24.0,15.0,13.0,22.0,16.0
2016-10-13,29.0,22.0,16.0,18.0,21.0,15.0,23.0,20.0,18.0,23.0,17.0,16.0
2016-10-14,22.0,19.0,14.0,31.0,23.0,23.0,17.0,29.0,18.0,13.0,23.0,20.0
2016-10-15,28.0,31.0,23.0,31.0,23.0,30.0,24.0,30.0,22.0,24.0,13.0,14.0
2016-10-16,20.0,17.0,11.0,20.0,28.0,32.0,28.0,17.0,15.0,18.0,20.0,16.0
2016-10-17,15.0,16.0,16.0,20.0,20.0,23.0,25.0,26.0,12.0,13.0,13.0,7.0
2016-10-18,20.0,24.0,12.0,19.0,16.0,13.0,,,,,,
2016-10-19,19.0,16.0,17.0,15.0,16.0,19.0,,,,,,
2016-10-20,19.0,14.0,24.0,20.0,13.0,22.0,,,,,,
2016-10-21,24.0,23.0,19.0,22.0,25.0,19.0,1.0,,,,,
2016-10-22,18.0,29.0,15.0,20.0,19.0,19.0,,,,,,
2016-10-23,22.0,20.0,26.0,18.0,17.0,25.0,,,,,,
2016-10-24,16.0,22.0,18.0,15.0,7.0,13.0,1.0,,,,,
