,0,1,2,3,4,5,6,7,8,9,10,11
2016-07-19,2.0,1.0,1.0,5.0,2.0,1.0,2.0,6.0,9.0,5.0,3.0,4.0
2016-07-20,3.0,2.0,5.0,1.0,4.0,3.0,3.0,4.0,8.0,6.0,3.0,5.0
2016-07-21,1.0,1.0,3.0,1.0,3.0,6.0,5.0,1.0,6.0,2.0,3.0,1.0
2016-07-22,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,8.0,4.0,5.0
2016-07-23,2.0,2.0,1.0,5.0,3.0,6.0,3.0,3.0,3.0,6.0,6.0,5.0
2016-07-24,2.0,3.0,1.0,4.0,3.0,6.0,1.0,5.0,3.0,8.0,6.0,3.0
2016-07-25,2.0,2.0,3.0,5.0,7.0,3.0,4.0,4.0,11.0,8.0,6.0,9.0
2016-07-26,1.0,2.0,1.0,2.0,5.0,4.0,3.0,2.0,5.0,11.0,7.0,8.0
2016-07-27,2.0,3.0,5.0,3.0,1.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0
2016-07-28,1.0,2.0,2.0,2.0,1.0,1.0,3.0,4.0,6.0,2.0,3.0,4.0
2016-07-29,1.0,1.0,2.0,1.0,6.0,1.0,5.0,5.0,5.0,5.0,4.0,7.0
2016-07-30,2.0,1.0,1.0,2.0,7.0,3.0,5.0,4.0,3.0,5.0,5.0,4.0
2016-07-31,1.0,1.0,4.0,2.0,3.0,3.0,3.0,7.0,2.0,3.0,3.0,4.0
2016-08-01,1.0,3.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,1.0
2016-08-02,1.0,3.0,7.0,3.0,1.0,4.0,3.0,3.0,6.0,7.0,5.0,3.0
2016-08-03,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,5.0,3.0,4.0
2016-08-04,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,5.0,8.0,7.0,3.0
2016-08-05,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0
2016-08-06,1.0,3.0,4.0,1.0,3.0,2.0,3.0,5.0,6.0,5.0,1.0,3.0
2016-08-07,2.0,1.0,2.0,3.0,2.0,3.0,5.0,4.0,6.0,2.0,3.0,5.0
2016-08-08,1.0,2.0,4.0,3.0,4.0,5.0,4.0,7.0,5.0,9.0,5.0,5.0
2016-08-09,1.0,3.0,3.0,2.0,3.0,3.0,6.0,1.0,1.0,4.0,1.0,1.0
2016-08-10,1.0,3.0,1.0,3.0,1.0,2.0,4.0,4.0,6.0,4.0,5.0,2.0
2016-08-11,2.0,1.0,3.0,3.0,1.0,5.0,2.0,6.0,2.0,4.0,2.0,4.0
2016-08-12,3.0,4.0,6.0,1.0,4.0,3.0,5.0,2.0,9.0,4.0,3.0,5.0
2016-08-13,4.0,3.0,1.0,2.0,7.0,5.0,3.0,5.0,4.0,1.0,3.0,2.0
2016-08-14,1.0,1.0,3.0,2.0,5.0,2.0,6.0,3.0,5.0,6.0,2.0,3.0
2016-08-15,2.0,3.0,2.0,3.0,4.0,2.0,2.0,6.0,7.0,3.0,3.0,2.0
2016-08-16,2.0,1.0,3.0,1.0,3.0,4.0,2.0,3.0,6.0,4.0,6.0,3.0
2016-08-17,1.0,1.0,4.0,3.0,3.0,4.0,1.0,3.0,4.0,3.0,7.0,2.0
2016-08-18,2.0,2.0,2.0,2.0,1.0,5.0,1.0,5.0,3.0,5.0,6.0,8.0
2016-08-19,2.0,1.0,2.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0
2016-08-20,3.0,2.0,2.0,3.0,3.0,2.0,5.0,6.0,7.0,1.0,3.0,3.0
2016-08-21,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,1.0,3.0
2016-08-22,1.0,3.0,6.0,3.0,1.0,2.0,1.0,5.0,2.0,6.0,1.0,4.0
2016-08-23,2.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0
2016-08-24,2.0,2.0,4.0,1.0,2.0,6.0,2.0,4.0,4.0,2.0,2.0,5.0
2016-08-25,1.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0
2016-08-26,1.0,4.0,2.0,4.0,6.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0
2016-08-27,1.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,1.0,7.0,5.0
2016-08-28,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0
2016-08-29,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0
2016-08-30,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0
2016-08-31,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0
2016-09-01,1.0,3.0,6.0,3.0,2.0,1.0,1.0,7.0,3.0,4.0,6.0,3.0
2016-09-02,1.0,2.0,3.0,2.0,1.0,3.0,1.0,7.0,10.0,3.0,3.0,1.0
2016-09-03,1.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,8.0,4.0,3.0,2.0
2016-09-04,1.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,7.0,3.0,6.0,4.0
2016-09-05,1.0,1.0,1.0,2.0,2.0,2.0,5.0,4.0,2.0,6.0,3.0,5.0
2016-09-06,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,1.0,1.0
2016-09-07,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,10.0
2016-09-08,2.0,2.0,2.0,2.0,2.0,5.0,7.0,3.0,2.0,6.0,6.0,12.0
2016-09-09,1.0,3.0,3.0,4.0,4.0,3.0,6.0,6.0,9.0,9.0,10.0,8.0
2016-09-10,1.0,2.0,5.0,5.0,7.0,6.0,6.0,7.0,7.0,9.0,8.0,10.0
2016-09-11,3.0,3.0,12.0,3.0,6.0,7.0,4.0,7.0,5.0,4.0,10.0,15.0
2016-09-12,2.0,1.0,3.0,3.0,1.0,3.0,9.0,9.0,13.0,5.0,4.0,11.0
2016-09-13,3.0,3.0,5.0,3.0,2.0,6.0,1.0,4.0,5.0,7.0,7.0,4.0
2016-09-14,1.0,3.0,7.0,6.0,3.0,2.0,3.0,3.0,6.0,8.0,4.0,4.0
2016-09-15,3.0,1.0,3.0,4.0,7.0,3.0,9.0,6.0,6.0,13.0,13.0,16.0
2016-09-16,1.0,1.0,3.0,3.0,3.0,3.0,3.0,6.0,7.0,7.0,7.0,9.0
2016-09-17,1.0,3.0,5.0,3.0,5.0,3.0,10.0,4.0,8.0,3.0,11.0,10.0
2016-09-18,1.0,3.0,2.0,3.0,4.0,2.0,2.0,3.0,17.0,10.0,12.0,6.0
