,0,1,2,3,4,5,6,7,8,9,10,11
2016-07-19,0.0,18.608333333333327,0.0,0.0,9.918999999999997,0.0,0.0,0.0,5.543333333333331,0.0,0.0,0.0
2016-07-20,0.0,0.0,0.0,18.015,0.0,0.0,72.15,0.0,0.0,19.725,0.0,0.0
2016-07-21,0.0,0.0,2.6624999999999996,0.0,29.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.295,0.0,0.0
2016-07-23,0.0,30.771499999999996,0.0,0.0,3.883999999999997,0.0,0.0,0.0,8.422333333333327,0.0,0.0,0.0
2016-07-24,5.413333333333334,0.0,0.0,0.0,0.0,0.0,61.44,0.0,0.0,0.0,49.78,0.0
2016-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.87666666666667,0.0,0.0
2016-07-26,0.0,0.0,0.0,0.0,4.998999999999999,58.75,0.0,0.0,-3.1933333333333316,0.0,0.0,0.0
2016-07-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-28,0.0,0.0,0.0,9.203333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-29,0.0,0.0,0.0,0.0,35.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-30,70.74,0.0,0.0,0.0,0.0,0.0,0.0,4.474166666666665,0.0,0.0,0.0,0.0
2016-07-31,0.0,-1.3883333333333336,0.0,-7.94166666666667,0.0,15.069999999999997,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,0.0,0.0,0.0,6.946666666666665,0.0,7.298333333333332,51.415,0.0,0.0,0.0,0.0,0.0
2016-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.643333333333331,0.0,0.0
2016-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-04,0.0,7.967500000000005,1.9421428571428567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-05,6.965000000000002,0.0,0.0,0.0,0.0,0.0,12.879999999999999,0.0,0.0,0.0,0.0,0.0
2016-08-06,0.0,0.0,0.0,27.21,0.0,0.0,10.8035,0.0,0.0,0.0,0.0,0.0
2016-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-08,0.0,0.0,0.0,9.481666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-09,0.0,26.365000000000002,0.0,0.0,29.698333333333334,25.423333333333332,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-10,0.0,0.0,17.985,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.214999999999996,0.0,0.0,0.0,0.0
2016-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-15,0.0,0.0,0.0,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-17,0.0,0.0,0.0,56.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-23,0.0,0.0,0.0,0.0,0.0,20.805000000000003,82.73,0.0,0.0,0.0,0.0,0.0
2016-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-28,64.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,0.0,0.0,0.0,0.0,0.0,0.0,41.7775,0.0,0.0,0.0,0.0,0.0
2016-09-02,0.0,0.0,6.039999999999999,0.0,0.0,6.7499999999999964,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-04,-2.9475000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-05,0.0,0.0,0.0,0.0,16.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-06,0.0,5.841333333333338,20.295,0.0,0.0,0.0,0.0,0.0,18.482142857142858,18.33,0.0,0.0
2016-09-07,0.0,0.0,0.0,6.8065,9.044166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-08,7.612,6.65909090909091,31.24333333333334,0.0,0.0,0.0,4.8945000000000025,-3.446999999999999,0.0,0.0,0.0,34.76333333333332
2016-09-09,17.897666666666666,0.0,4.509696969696975,0.0,0.0,-1.4693333333333314,0.0,0.0,0.0,0.0,0.0,12.913500000000003
2016-09-10,17.435555555555556,49.87615384615383,0.0,6.443318181818185,5.165249999999997,7.054583333333333,0.0,0.0,4.947222222222226,0.0,12.855833333333337,0.0
2016-09-11,10.400277777777777,0.0,21.656153846153842,24.70916666666666,0.0,5.861388888888889,8.760952380952382,13.106428571428566,3.9810000000000016,8.105833333333331,7.6675,0.0
